patch_id,neighbor_id,attention_weight
228,229,0.23147091
228,250,0.20193948
229,207,0.31356883
229,228,0.22211008
229,230,0.2530632
229,251,0.2112579
230,208,0.2984673
230,229,0.24435101
230,231,0.20916286
230,252,0.24801885
231,209,0.25471112
231,230,0.23496433
231,232,0.2837317
231,253,0.2265929
232,210,0.31140622
232,231,0.143225
232,233,0.34163743
232,254,0.20373134
233,211,0.23283088
233,232,0.21186088
233,234,0.31279477
233,255,0.24251343
234,212,0.19557051
234,233,0.25357357
234,235,0.29507658
234,256,0.25577933
235,213,0.33026466
235,234,0.3002245
235,236,0.13771266
235,257,0.23179814
236,214,0.20440817
236,235,0.37027106
236,237,0.27594024
236,258,0.14938056
237,215,0.17814952
237,236,0.119574435
237,238,0.4143919
237,259,0.28788418
238,216,0.22890972
238,237,0.14341284
238,239,0.366809
238,260,0.2608684
239,217,0.21690105
239,238,0.16453679
239,240,0.31469113
239,261,0.30387104
240,218,0.21500169
240,239,0.24448013
240,241,0.22834356
240,262,0.31217462
241,219,0.3209841
241,240,0.46408588
241,263,0.21493006
242,220,0.3458761
242,243,0.32957613
242,264,0.32454777
243,221,0.24294552
243,242,0.17879252
243,244,0.35978955
243,265,0.21847236
244,222,0.2571943
244,243,0.16949765
244,245,0.34344363
244,266,0.22986437
245,223,0.17370234
245,244,0.17653613
245,246,0.23422904
245,267,0.4155325
246,224,0.1507997
246,245,0.24711782
246,247,0.27349988
246,268,0.32858267
247,225,0.18857838
247,246,0.24036272
247,248,0.3140399
247,269,0.25701904
248,226,0.24507944
248,247,0.22031659
248,249,0.22256663
248,270,0.31203738
249,227,0.24510075
249,248,0.2922924
249,250,0.16169593
249,271,0.3009109
250,228,0.19691606
250,249,0.28527156
250,251,0.18330337
250,272,0.33450904
251,229,0.2752734
251,250,0.23451938
251,252,0.27187195
251,273,0.21833523
252,230,0.28138405
252,251,0.22810356
252,253,0.26835865
252,274,0.22215374
253,231,0.19772954
253,252,0.22883618
253,254,0.28272235
253,275,0.29071194
254,232,0.24782588
254,253,0.19745684
254,255,0.28585172
254,276,0.26886564
255,233,0.31302673
255,254,0.1860764
255,256,0.31664142
255,277,0.1842554
256,234,0.26677284
256,255,0.20737424
256,257,0.21040024
256,278,0.3154527
257,235,0.34840426
257,256,0.30295983
257,258,0.14141206
257,279,0.20722385
258,236,0.15789394
258,257,0.27271524
258,259,0.37957057
258,280,0.18982027
259,237,0.19839533
259,258,0.10697117
259,260,0.36125395
259,281,0.3333796
260,238,0.20424245
260,259,0.14072642
260,261,0.3749857
260,282,0.28004545
261,239,0.2555666
261,260,0.17987111
261,262,0.32141402
261,283,0.2431483
262,240,0.31224975
262,261,0.3020768
262,263,0.14226726
262,284,0.24340619
263,241,0.31395283
263,262,0.42643362
263,285,0.25961363
264,242,0.29860765
264,265,0.34847853
264,286,0.3529138
265,243,0.23927802
265,264,0.22991772
265,266,0.32587552
265,287,0.20492873
266,244,0.21704344
266,265,0.13426705
266,267,0.5029753
266,288,0.14571421
267,245,0.23618081
267,266,0.15913492
267,268,0.3153738
267,289,0.28931046
268,246,0.18233444
268,267,0.32591158
268,269,0.19372828
268,290,0.2980257
269,247,0.20465657
269,268,0.24230565
269,270,0.28517604
269,291,0.26786172
270,248,0.28022408
270,269,0.22526836
270,271,0.28729564
270,292,0.2072119
271,249,0.20593247
271,270,0.29145235
271,272,0.24306463
