patch_id,neighbor_id,attention_weight
64,65,0.2631579
64,86,0.31578946
65,43,0.42105263
65,64,0.21052632
65,87,0.36842105
66,44,0.36842105
66,67,0.31578946
66,88,0.31578946
67,45,0.36842105
67,66,0.21052632
67,68,0.15789473
67,89,0.2631579
68,46,0.5263158
68,67,0.10526316
68,69,0.15789473
68,90,0.21052632
69,47,0.5263158
69,68,0.15789473
69,70,0.10526316
69,91,0.21052632
70,48,0.42105263
70,69,0.15789473
70,71,0.15789473
70,92,0.2631579
71,49,0.31578946
71,70,0.2631579
71,72,0.21052632
71,93,0.21052632
72,50,0.21052632
72,71,0.36842105
72,73,0.2631579
72,94,0.15789473
73,51,0.15789473
73,72,0.2631579
73,74,0.31578946
73,95,0.2631579
74,52,0.31578946
74,73,0.15789473
74,75,0.31578946
74,96,0.21052632
75,53,0.2631579
75,74,0.15789473
75,76,0.36842105
75,97,0.21052632
76,54,0.36842105
76,75,0.10526316
76,77,0.2631579
76,98,0.2631579
77,55,0.31578946
77,76,0.15789473
77,78,0.2631579
77,99,0.2631579
78,56,0.21052632
78,77,0.21052632
78,79,0.31578946
78,100,0.2631579
79,57,0.31578946
79,78,0.15789473
79,80,0.15789473
79,101,0.36842105
80,58,0.47368422
80,79,0.10526316
80,81,0.15789473
80,102,0.2631579
81,59,0.36842105
81,80,0.21052632
81,82,0.21052632
81,103,0.21052632
82,60,0.2631579
82,81,0.21052632
82,83,0.15789473
82,104,0.36842105
83,61,0.05263158
83,82,0.31578946
83,84,0.21052632
83,105,0.42105263
84,62,0.05263158
84,83,0.31578946
84,85,0.36842105
84,106,0.2631579
85,63,0.15789473
85,84,0.21052632
85,86,0.21052632
85,107,0.42105263
86,64,0.10526316
86,85,0.2631579
86,87,0.36842105
86,108,0.2631579
87,65,0.42105263
87,86,0.31578946
87,109,0.2631579
88,66,0.42105263
88,89,0.36842105
88,110,0.21052632
89,67,0.31578946
89,88,0.21052632
89,90,0.21052632
89,111,0.2631579
90,68,0.47368422
90,89,0.10526316
90,91,0.10526316
90,112,0.31578946
91,69,0.42105263
91,90,0.10526316
91,92,0.15789473
91,113,0.31578946
92,70,0.2631579
92,91,0.21052632
92,93,0.2631579
92,114,0.2631579
93,71,0.36842105
93,92,0.10526316
93,94,0.2631579
93,115,0.2631579
94,72,0.2631579
94,93,0.21052632
94,95,0.15789473
94,116,0.36842105
95,73,0.21052632
95,94,0.31578946
95,96,0.21052632
95,117,0.2631579
96,74,0.21052632
96,95,0.2631579
96,97,0.2631579
96,118,0.2631579
97,75,0.31578946
97,96,0.21052632
97,98,0.36842105
97,119,0.10526316
98,76,0.36842105
98,97,0.10526316
98,99,0.42105263
98,120,0.10526316
99,77,0.2631579
99,98,0.15789473
99,100,0.31578946
99,121,0.2631579
100,78,0.21052632
100,99,0.15789473
100,101,0.42105263
100,122,0.21052632
101,79,0.31578946
101,100,0.2631579
101,102,0.10526316
101,123,0.31578946
102,80,0.2631579
102,101,0.36842105
102,103,0.10526316
102,124,0.2631579
103,81,0.42105263
103,102,0.15789473
103,104,0.15789473
103,125,0.2631579
104,82,0.21052632
104,103,0.10526316
104,105,0.36842105
104,126,0.31578946
105,83,0.15789473
105,104,0.2631579
105,106,0.2631579
105,127,0.31578946
106,84,0.15789473
106,105,0.36842105
106,107,0.2631579
106,128,0.21052632
107,85,0.2631579
107,106,0.21052632
107,108,0.15789473
107,129,0.36842105
108,86,0.21052632
108,107,0.47368422
108,109,0.10526316
108,130,0.21052632
109,87,0.31578946
109,108,0.31578946
109,131,0.36842105
110,88,0.36842105
110,111,0.31578946
110,132,0.31578946
111,89,0.42105263
111,110,0.21052632
111,112,0.15789473
111,133,0.21052632
112,90,0.2631579
112,111,0.2631579
112,113,0.21052632
112,134,0.2631579
113,91,0.42105263
113,112,0.10526316
113,114,0.21052632
113,135,0.2631579
114,92,0.42105263
114,113,0.10526316
114,115,0.21052632
114,136,0.2631579
115,93,0.31578946
115,114,0.15789473
115,116,0.2631579
115,137,0.2631579
116,94,0.42105263
116,115,0.10526316
116,117,0.21052632
116,138,0.2631579
117,95,0.21052632
117,116,0.2631579
117,118,0.2631579
117,139,0.2631579
118,96,0.47368422
118,117,0.10526316
118,119,0.10526316
118,140,0.31578946
119,97,0.2631579
119,118,0.31578946
119,120,0.10526316
119,141,0.31578946
120,98,0.36842105
120,119,0.15789473
120,121,0.21052632
120,142,0.2631579
121,99,0.36842105
121,120,0.21052632
121,122,0.36842105
121,143,0.05263158
122,100,0.36842105
122,121,0.10526316
122,123,0.2631579
122,144,0.2631579
123,101,0.2631579
123,122,0.31578946
123,124,0.21052632
123,145,0.21052632
124,102,0.2631579
124,123,0.2631579
124,125,0.2631579
124,146,0.21052632
125,103,0.21052632
125,124,0.15789473
125,126,0.31578946
125,147,0.31578946
126,104,0.21052632
126,125,0.2631579
126,127,0.21052632
126,148,0.31578946
127,105,0.31578946
127,126,0.15789473
127,128,0.15789473
127,149,0.36842105
128,106,0.2631579
128,127,0.21052632
128,129,0.2631579
128,150,0.2631579
129,107,0.2631579
129,128,0.2631579
129,130,0.15789473
129,151,0.31578946
130,108,0.21052632
130,129,0.42105263
130,131,0.15789473
130,152,0.21052632
131,109,0.36842105
131,130,0.21052632
131,153,0.42105263
132,110,0.2631579
132,133,0.31578946
132,154,0.42105263
133,111,0.42105263
133,132,0.21052632
133,134,0.31578946
133,155,0.05263158
134,112,0.31578946
134,133,0.21052632
134,135,0.42105263
134,156,0.05263158
135,113,0.42105263
135,134,0.21052632
135,136,0.21052632
135,157,0.15789473
136,114,0.42105263
136,135,0.05263158
136,137,0.15789473
136,158,0.36842105
137,115,0.47368422
137,136,0.15789473
137,138,0.10526316
137,159,0.2631579
138,116,0.42105263
138,137,0.15789473
138,139,0.2631579
138,160,0.15789473
139,117,0.42105263
139,138,0.21052632
139,140,0.15789473
139,161,0.21052632
140,118,0.36842105
140,139,0.10526316
140,141,0.31578946
140,162,0.21052632
